op,shape,dur_us,flops,bytes_accessed
%fusion.2036,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.039,0,0
%copy-start.7,"(f32[128,128]{1,0:T(8,128)}, f32[128,128",0.003,0,0
%fusion.2028,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.499,0,0
%copy-start.9,"(f32[128,128]{1,0:T(8,128)}, f32[128,128",0.001,0,0
%copy-done.9,"f32[128,128]{1,0:T(8,128)} copy-done((f3",0.306,0,0
%fusion.2262,"f32[128,65536]{1,0:T(8,128)S(1)} fusion(",11.725,0,0
%custom-call.1,f32[8388608]{0:T(1024)S(1)} custom-call(,44.722,0,0
%reshape.14,"f32[128,65536]{1,0:T(8,128)} reshape(f32",51.926,0,0
%copy-done.7,"f32[128,128]{1,0:T(8,128)} copy-done((f3",0.003,0,0
%convolution_subtract_fusion.1,"f32[128,65536]{1,0:T(8,128)S(1)} fusion(",46.166,0,0
%iota_and_fusion,"u32[65536]{0:T(1024)S(1)} fusion(), kind",0.048,0,0
%copy-start.3,"(u32[65536]{0:T(1024)}, u32[65536]{0:T(1",0.003,0,0
%iota_shift-right-logical_fusion,"u32[65536]{0:T(1024)S(1)} fusion(), kind",0.046,0,0
%copy-done.11,u32[128]{0:T(128)} copy-done((u32[128]{0,0.004,0,0
%copy-done.13,u32[128]{0:T(128)} copy-done((u32[128]{0,0.003,0,0
%copy-start.5,"(u32[65536]{0:T(1024)}, u32[65536]{0:T(1",0.003,0,0
%is-finite_and_fusion.22,"(pred[128,65536,1]{1,0,2:T(32,128)(4,1)S",787.79,0,0
%copy-done.3,u32[65536]{0:T(1024)} copy-done((u32[655,0.004,0,0
%copy-done.5,u32[65536]{0:T(1024)} copy-done((u32[655,0.003,0,0
%fusion.2320,"(pred[128,65536,1]{1,0,2:T(32,128)(4,1)S",950.733,0,0
%fusion.335,"(f32[128,65536,1]{1,0,2:T(8,128)}, f32[1",1282.23,0,0
%copy-start.4,"(u32[65536]{0:T(1024)S(1)}, u32[65536]{0",0.003,0,0
%copy-start.6,"(u32[65536]{0:T(1024)S(1)}, u32[65536]{0",0.003,0,0
%copy-start.10,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.003,0,0
%copy-start.12,"(u32[128]{0:T(128)S(1)}, u32[128]{0:T(12",0.004,0,0
%copy-start.14,"(u32[128]{0:T(128)S(1)}, u32[128]{0:T(12",0.003,0,0
%add_select_fusion.84,"(f32[128,65536,1]{1,0,2:T(8,128)}, f32[1",556.236,0,0
%copy-done.4,u32[65536]{0:T(1024)S(1)} copy-done((u32,0.003,0,0
%copy-done.6,u32[65536]{0:T(1024)S(1)} copy-done((u32,0.004,0,0
%copy-done.10,"f32[128,128]{1,0:T(8,128)S(1)} copy-done",0.004,0,0
%copy-done.12,u32[128]{0:T(128)S(1)} copy-done((u32[12,0.003,0,0
%copy-done.14,u32[128]{0:T(128)S(1)} copy-done((u32[12,0.004,0,0
%fusion.374,"(f32[128,65536,1]{1,0,2:T(8,128)}, f32[1",2589.974,0,0
%fusion.375,"f32[128,65536,1]{1,0,2:T(8,128)S(1)} fus",135.227,0,0
%copy.5,"f32[16,8,128,512]{3,2,1,0:T(8,128)S(1)} ",41.772,0,0
%copy-start.8,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.003,0,0
%copy,"f32[128,512,128]{2,0,1:T(8,128)S(1)} cop",32.61,0,0
%copy-done.8,"f32[128,128]{1,0:T(8,128)S(1)} copy-done",0.004,0,0
%copy-start.2,"(f32[128,65536,1]{1,0,2:T(8,128)S(1)}, f",0.003,0,0
%fusion.2039,"f32[128,512,128]{2,0,1:T(8,128)S(1)} fus",11.717,0,0
%copy-start,"(f32[128,512,128]{2,0,1:T(8,128)}, f32[1",0.003,0,0
%copy-done.2,"f32[128,65536,1]{1,0,2:T(8,128)S(1)} cop",76.375,0,0
%copy.6,"f32[16,8,128,512]{3,2,1,0:T(8,128)} copy",54.504,0,0
%copy.2,"f32[128,512,128]{2,0,1:T(8,128)S(1)} cop",61.299,0,0
%copy-start.1,"(f32[128,512,128]{2,0,1:T(8,128)}, f32[1",0.003,0,0
%copy-done,"f32[128,512,128]{2,0,1:T(8,128)} copy-do",0.005,0,0
%convolution_subtract_fusion,"f32[128,512,128]{2,0,1:T(8,128)} fusion(",53.584,0,0
%copy-done.1,"f32[128,512,128]{2,0,1:T(8,128)} copy-do",48.666,0,0
%iota_and_fusion.1,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.004,0,0
%iota_shift-right-logical_fusion.1,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.005,0,0
%is-finite_and_fusion.84,"(pred[512,128]{1,0:T(8,128)(4,1)S(1)}, f",6.511,0,0
%fusion.1500,"(f32[512,128]{1,0:T(8,128)S(1)}, f32[512",43.447,0,0
%fusion.1508,"f32[512,128]{1,0:T(8,128)S(1)} fusion(f3",36.112,0,0
%fusion.373,"(f32[512,128,128]{2,1,0:T(8,128)S(1)}, f",136.991,0,0
%fusion.2301,"(pred[512,512]{1,0:T(8,128)(4,1)S(1)}, f",115.736,0,0
%select_select_fusion.12,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",14.402,0,0
%fusion.741,"f32[512,512]{1,0:T(8,128)S(1)} fusion(pr",5.72,0,0
%add_select_fusion.180,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",147.48,0,0
%select_select_fusion.17,"f32[512,512]{1,0:T(8,128)S(1)} fusion(f3",16.641,0,0
%fusion.980,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",23.898,0,0
%add_select_fusion.181,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",14.62,0,0
%subtract_select_fusion.15,"f32[512,512]{1,0:T(8,128)S(1)} fusion(pr",2.47,0,0
%fusion.370,"f32[512,16384]{1,0:T(8,128)S(1)} fusion(",192.135,0,0
%fusion.364,"f32[64,128,8,128]{3,2,1,0:T(8,128)} fusi",364.678,0,0
%copy.9,"f32[64,128,8,128]{3,1,2,0:T(8,128)} copy",100.666,0,0
%fusion.367,"f32[64,128,8,128]{3,2,1,0:T(8,128)} fusi",364.132,0,0
%copy.10,"f32[64,128,8,128]{3,1,2,0:T(8,128)S(1)} ",46.491,0,0
%custom-call.2,c64[8388608]{0:T(1024)} custom-call(f32[,246.129,0,0
%custom-call,f32[8388608]{0:T(1024)S(1)} custom-call(,44.703,0,0
%reshape.6,"f32[128,65536]{1,0:T(8,128)S(1)} reshape",11.93,0,0
%iota_and_fusion.2,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%copy-start.11,"(u32[128]{0:T(128)}, u32[128]{0:T(128)S(",0.003,0,0
%iota_shift-right-logical_fusion.2,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%copy-start.13,"(u32[128]{0:T(128)}, u32[128]{0:T(128)S(",0.003,0,0
%add_select_fusion.367,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.902,0,0
%fusion.1991,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.859,0,0
%and_or_fusion.31,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.051,0,0
%add_select_fusion.322,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.487,0,0
%add_select_fusion.334,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.486,0,0
%fusion.2036,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.04,0,0
%copy-start.7,"(f32[128,128]{1,0:T(8,128)}, f32[128,128",0.003,0,0
%fusion.2028,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.499,0,0
%copy-start.9,"(f32[128,128]{1,0:T(8,128)}, f32[128,128",0.003,0,0
%copy-done.9,"f32[128,128]{1,0:T(8,128)} copy-done((f3",0.305,0,0
%fusion.2262,"f32[128,65536]{1,0:T(8,128)S(1)} fusion(",11.724,0,0
%custom-call.1,f32[8388608]{0:T(1024)S(1)} custom-call(,44.916,0,0
%reshape.14,"f32[128,65536]{1,0:T(8,128)} reshape(f32",51.944,0,0
%copy-done.7,"f32[128,128]{1,0:T(8,128)} copy-done((f3",0.003,0,0
%convolution_subtract_fusion.1,"f32[128,65536]{1,0:T(8,128)S(1)} fusion(",46.149,0,0
%iota_and_fusion,"u32[65536]{0:T(1024)S(1)} fusion(), kind",0.049,0,0
%copy-start.3,"(u32[65536]{0:T(1024)}, u32[65536]{0:T(1",0.004,0,0
%iota_shift-right-logical_fusion,"u32[65536]{0:T(1024)S(1)} fusion(), kind",0.048,0,0
%copy-done.11,u32[128]{0:T(128)} copy-done((u32[128]{0,0.004,0,0
%copy-done.13,u32[128]{0:T(128)} copy-done((u32[128]{0,0.003,0,0
%copy-start.5,"(u32[65536]{0:T(1024)}, u32[65536]{0:T(1",0.003,0,0
%is-finite_and_fusion.22,"(pred[128,65536,1]{1,0,2:T(32,128)(4,1)S",787.733,0,0
%copy-done.3,u32[65536]{0:T(1024)} copy-done((u32[655,0.003,0,0
%copy-done.5,u32[65536]{0:T(1024)} copy-done((u32[655,0.004,0,0
%fusion.2320,"(pred[128,65536,1]{1,0,2:T(32,128)(4,1)S",950.91,0,0
%fusion.335,"(f32[128,65536,1]{1,0,2:T(8,128)}, f32[1",1282.226,0,0
%copy-start.4,"(u32[65536]{0:T(1024)S(1)}, u32[65536]{0",0.003,0,0
%copy-start.6,"(u32[65536]{0:T(1024)S(1)}, u32[65536]{0",0.004,0,0
%copy-start.10,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.003,0,0
%copy-start.12,"(u32[128]{0:T(128)S(1)}, u32[128]{0:T(12",0.003,0,0
%copy-start.14,"(u32[128]{0:T(128)S(1)}, u32[128]{0:T(12",0.003,0,0
%add_select_fusion.84,"(f32[128,65536,1]{1,0,2:T(8,128)}, f32[1",556.298,0,0
%copy-done.4,u32[65536]{0:T(1024)S(1)} copy-done((u32,0.004,0,0
%copy-done.6,u32[65536]{0:T(1024)S(1)} copy-done((u32,0.003,0,0
%copy-done.10,"f32[128,128]{1,0:T(8,128)S(1)} copy-done",0.004,0,0
%copy-done.12,u32[128]{0:T(128)S(1)} copy-done((u32[12,0.003,0,0
%copy-done.14,u32[128]{0:T(128)S(1)} copy-done((u32[12,0.004,0,0
%fusion.374,"(f32[128,65536,1]{1,0,2:T(8,128)}, f32[1",2589.983,0,0
%fusion.375,"f32[128,65536,1]{1,0,2:T(8,128)S(1)} fus",135.273,0,0
%copy.5,"f32[16,8,128,512]{3,2,1,0:T(8,128)S(1)} ",41.775,0,0
%copy-start.8,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.003,0,0
%copy,"f32[128,512,128]{2,0,1:T(8,128)S(1)} cop",32.609,0,0
%copy-done.8,"f32[128,128]{1,0:T(8,128)S(1)} copy-done",0.003,0,0
%copy-start.2,"(f32[128,65536,1]{1,0,2:T(8,128)S(1)}, f",0.004,0,0
%fusion.2039,"f32[128,512,128]{2,0,1:T(8,128)S(1)} fus",11.717,0,0
%copy-start,"(f32[128,512,128]{2,0,1:T(8,128)}, f32[1",0.003,0,0
%copy-done.2,"f32[128,65536,1]{1,0,2:T(8,128)S(1)} cop",76.584,0,0
%copy.6,"f32[16,8,128,512]{3,2,1,0:T(8,128)} copy",54.55,0,0
%copy.2,"f32[128,512,128]{2,0,1:T(8,128)S(1)} cop",61.294,0,0
%copy-start.1,"(f32[128,512,128]{2,0,1:T(8,128)}, f32[1",0.003,0,0
%copy-done,"f32[128,512,128]{2,0,1:T(8,128)} copy-do",0.004,0,0
%convolution_subtract_fusion,"f32[128,512,128]{2,0,1:T(8,128)} fusion(",53.69,0,0
%copy-done.1,"f32[128,512,128]{2,0,1:T(8,128)} copy-do",49.139,0,0
%iota_and_fusion.1,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.004,0,0
%iota_shift-right-logical_fusion.1,"u32[512]{0:T(512)S(1)} fusion(), kind=kL",0.004,0,0
%is-finite_and_fusion.84,"(pred[512,128]{1,0:T(8,128)(4,1)S(1)}, f",6.511,0,0
%fusion.1500,"(f32[512,128]{1,0:T(8,128)S(1)}, f32[512",43.446,0,0
%fusion.1508,"f32[512,128]{1,0:T(8,128)S(1)} fusion(f3",36.11,0,0
%fusion.373,"(f32[512,128,128]{2,1,0:T(8,128)S(1)}, f",136.87,0,0
%fusion.2301,"(pred[512,512]{1,0:T(8,128)(4,1)S(1)}, f",115.735,0,0
%select_select_fusion.12,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",14.402,0,0
%fusion.741,"f32[512,512]{1,0:T(8,128)S(1)} fusion(pr",5.72,0,0
%add_select_fusion.180,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",147.479,0,0
%select_select_fusion.17,"f32[512,512]{1,0:T(8,128)S(1)} fusion(f3",16.642,0,0
%fusion.980,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",23.897,0,0
%add_select_fusion.181,"(f32[512,512]{1,0:T(8,128)S(1)}, f32[512",14.62,0,0
%subtract_select_fusion.15,"f32[512,512]{1,0:T(8,128)S(1)} fusion(pr",2.471,0,0
%fusion.370,"f32[512,16384]{1,0:T(8,128)S(1)} fusion(",192.136,0,0
%fusion.364,"f32[64,128,8,128]{3,2,1,0:T(8,128)} fusi",364.675,0,0
%copy.9,"f32[64,128,8,128]{3,1,2,0:T(8,128)} copy",100.574,0,0
%fusion.367,"f32[64,128,8,128]{3,2,1,0:T(8,128)} fusi",364.085,0,0
%copy.10,"f32[64,128,8,128]{3,1,2,0:T(8,128)S(1)} ",46.445,0,0
%custom-call.2,c64[8388608]{0:T(1024)} custom-call(f32[,239.976,0,0
%iota.1,"f32[16777216]{0:T(1024)} iota(), iota_di",102.764,0,0
%broadcast_add_fusion,f32[16777216]{0:T(1024)} fusion(f32[1677,203.849,0,0
%broadcast,f32[16777216]{0:T(1024)S(1)} broadcast(f,27.105,0,0
%custom-call,c64[16777216]{0:T(1024)} custom-call(f32,493.337,0,0
%iota_and_fusion.2,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%copy-start.6,"(u32[128]{0:T(128)}, u32[128]{0:T(128)S(",0.003,0,0
%iota_shift-right-logical_fusion.2,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.004,0,0
%copy-start.9,"(u32[128]{0:T(128)}, u32[128]{0:T(128)S(",0.004,0,0
%add_select_fusion.270,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.902,0,0
%fusion.1397,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.859,0,0
%add_select_fusion.237,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%add_select_fusion.225,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%and_or_fusion.22,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.051,0,0
%fusion.1442,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.039,0,0
%copy-start.2,"(f32[128,128]{1,0:T(8,128)}, f32[128,128",0.003,0,0
%fusion.1434,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.498,0,0
%copy-start.4,"(f32[128,128]{1,0:T(8,128)}, f32[128,128",0.003,0,0
%custom-call,f32[16777216]{0:T(1024)} custom-call(c64,379.239,0,0
%reshape.8,"f32[128,131072]{1,0:T(8,128)S(1)} reshap",90.784,0,0
%copy-done.4,"f32[128,128]{1,0:T(8,128)} copy-done((f3",0.004,0,0
%copy-start,"(f32[128,131072]{1,0:T(8,128)}, f32[128,",0.003,0,0
%fusion.2819,"f32[128,131072]{1,0:T(8,128)} fusion(f32",102.063,0,0
%custom-call.1,f32[16777216]{0:T(1024)} custom-call(c64,451.094,0,0
%reshape.16,"f32[128,131072]{1,0:T(8,128)} reshape(f3",204.29,0,0
%copy-done.2,"f32[128,128]{1,0:T(8,128)} copy-done((f3",0.003,0,0
%copy-done,"f32[128,131072]{1,0:T(8,128)} copy-done(",0.005,0,0
%convolution_subtract_fusion.3,"f32[128,131072]{1,0:T(8,128)} fusion(f32",290.231,0,0
%iota_and_fusion,"u32[131072]{0:T(1024)S(1)} fusion(), kin",0.09,0,0
%iota_shift-right-logical_fusion,"u32[131072]{0:T(1024)S(1)} fusion(), kin",0.091,0,0
%is-finite_and_fusion.22,"(pred[128,131072,1]{1,0,2:T(32,128)(4,1)",1622.601,0,0
%copy-start.1,"(f32[128,131072,1]{1,0,2:T(8,128)}, f32[",0.001,0,0
%fusion.2863,"(pred[128,131072,1]{1,0,2:T(32,128)(4,1)",1886.52,0,0
%copy-done.1,"f32[128,131072,1]{1,0,2:T(8,128)} copy-d",0.005,0,0
%slice-start,"((f32[128,131072]{1,0:T(8,128)}), f32[32",0.004,0,0
%slice-start.1,"((f32[128,131072]{1,0:T(8,128)}), f32[32",0.004,0,0
%slice-start.2,"((f32[128,131072]{1,0:T(8,128)}), f32[32",0.004,0,0
%fusion.335,"(f32[128,131072,1]{1,0,2:T(8,128)}, f32[",2520.881,0,0
%slice-start.3,"((f32[128,131072]{1,0:T(8,128)}), f32[32",0.005,0,0
%copy-start.5,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.004,0,0
%add_select_fusion.84,"(f32[128,131072,1]{1,0,2:T(8,128)}, f32[",1133.71,0,0
%copy-done.6,u32[128]{0:T(128)} copy-done((u32[128]{0,0.004,0,0
%copy-done.9,u32[128]{0:T(128)} copy-done((u32[128]{0,0.003,0,0
%slice-done,"f32[32,131072]{1,0:T(8,128)S(1)} async-d",0.004,0,0
%slice-done.1,"f32[32,131072]{1,0:T(8,128)S(1)} async-d",0.003,0,0
%slice-done.2,"f32[32,131072]{1,0:T(8,128)S(1)} async-d",0.004,0,0
%slice-done.3,"f32[32,131072]{1,0:T(8,128)S(1)} async-d",0.004,0,0
%copy-done.5,"f32[128,128]{1,0:T(8,128)S(1)} copy-done",0.003,0,0
%custom-call.3,"f32[128,131072]{1,0:T(8,128)S(1)} custom",0.001,0,0
%fusion.368,"(f32[128,131072,1]{1,0,2:T(8,128)}, f32[",5182.9,0,0
%fusion.369,"f32[128,131072,1]{1,0,2:T(8,128)S(1)} fu",356.644,0,0
%copy.10,"f32[16,8,128,1024]{3,2,1,0:T(8,128)} cop",104.913,0,0
%copy-start.3,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.001,0,0
%copy,"f32[128,1024,128]{2,0,1:T(8,128)S(1)} co",104.719,0,0
%copy-done.3,"f32[128,128]{1,0:T(8,128)S(1)} copy-done",0.004,0,0
%fusion.1448,"f32[128,1024,128]{2,0,1:T(8,128)} fusion",104.12,0,0
%copy.11,"f32[16,8,128,1024]{3,2,1,0:T(8,128)} cop",203.765,0,0
%copy.2,"f32[128,1024,128]{2,0,1:T(8,128)} copy(f",205.777,0,0
%copy-start.7,"(u32[128]{0:T(128)S(1)}, u32[128]{0:T(12",0.002,0,0
%copy-start.10,"(u32[128]{0:T(128)S(1)}, u32[128]{0:T(12",0.002,0,0
%convolution_subtract_fusion.2,"f32[128,1024,128]{2,0,1:T(8,128)} fusion",294.562,0,0
%iota_and_fusion.1,"u32[1024]{0:T(1024)S(1)} fusion(), kind=",0.003,0,0
%iota_shift-right-logical_fusion.1,"u32[1024]{0:T(1024)S(1)} fusion(), kind=",0.004,0,0
%copy-done.7,u32[128]{0:T(128)S(1)} copy-done((u32[12,0.004,0,0
%copy-done.10,u32[128]{0:T(128)S(1)} copy-done((u32[12,0.003,0,0
%is-finite_and_fusion.53,"(pred[1024,128]{1,0:T(8,128)(4,1)S(1)}, ",12.392,0,0
%fusion.906,"(f32[1024,128]{1,0:T(8,128)S(1)}, f32[10",86.754,0,0
%fusion.914,"f32[1024,128]{1,0:T(8,128)S(1)} fusion(f",72.079,0,0
%fusion.367,"(f32[1024,128,128]{2,1,0:T(8,128)}, f32[",498.31,0,0
%reshape.5,"f32[128,8,16384]{2,1,0:T(8,128)S(1)} res",89.365,0,0
%fusion.534,"f32[128,8,16384]{2,0,1:T(8,128)} fusion(",94.515,0,0
%reshape.1,"f32[128,8,16384]{2,1,0:T(8,128)} reshape",205.181,0,0
%copy-start.8,"(u32[128]{0:T(128)S(1)}, u32[128]{0:T(12",0.001,0,0
%copy-start.11,"(u32[128]{0:T(128)S(1)}, u32[128]{0:T(12",0.001,0,0
%convolution_add_fusion.1,"f32[128,8,16384]{2,0,1:T(8,128)} fusion(",289.408,0,0
%iota_and_fusion.3,"u32[8]{0:T(128)S(1)} fusion(), kind=kLoo",0.004,0,0
%iota_shift-right-logical_fusion.3,"u32[8]{0:T(128)S(1)} fusion(), kind=kLoo",0.004,0,0
%copy-done.8,u32[128]{0:T(128)S(1)} copy-done((u32[12,0.004,0,0
%copy-done.11,u32[128]{0:T(128)S(1)} copy-done((u32[12,0.004,0,0
%is-finite_and_fusion.115,"(pred[8,128]{1,0:T(8,128)(4,1)S(1)}, f32",0.406,0,0
%fusion.2397,"(f32[8,128]{1,0:T(8,128)S(1)}, pred[8,12",0.68,0,0
%fusion.2405,"f32[8,128]{1,0:T(8,128)S(1)} fusion(f32[",0.385,0,0
%fusion.365,"(f32[1,8,128,16384]{3,2,1,0:T(8,128)}, f",522.199,0,0
%copy.12,"f32[1,8,128,16384]{3,1,2,0:T(8,128)S(1)}",92.608,0,0
%add_select_fusion.450,"(f32[8,8]{1,0:T(8,128)S(1)}, pred[8,8]{1",0.525,0,0
%add_select_fusion.472,"(f32[8,8]{1,0:T(8,128)S(1)}, f32[8,8]{1,",0.18,0,0
%subtract_select_fusion.57,"f32[8,8]{1,0:T(8,128)S(1)} fusion(pred[8",0.037,0,0
%subtract_select_fusion.62,"f32[8,8]{1,0:T(8,128)S(1)} fusion(pred[8",0.02,0,0
%subtract_select_fusion.65,"f32[8,8]{1,0:T(8,128)S(1)} fusion(pred[8",0.022,0,0
%and_or_fusion.40,"(pred[8,8]{1,0:T(8,128)(4,1)S(1)}, pred[",0.011,0,0
%fusion.2554,"f32[8,2097152]{1,0:T(8,128)} fusion(f32[",105.026,0,0
%copy.13,"f32[1,8,128,16384]{3,1,2,0:T(8,128)} cop",199.951,0,0
%fusion.374,"f32[1,16384,8,128]{3,2,1,0:T(8,128)} fus",295.456,0,0
%copy.15,"f32[1,16384,8,128]{3,1,2,0:T(8,128)} cop",202.554,0,0
%fusion.375,"f32[1,16384,8,128]{3,2,1,0:T(8,128)} fus",295.442,0,0
%copy.14,"f32[1,16384,8,128]{3,1,2,0:T(8,128)S(1)}",90.975,0,0
%custom-call.2,c64[16777216]{0:T(1024)} custom-call(f32,482.984,0,0
%iota_and_fusion.2,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%copy-start.6,"(u32[128]{0:T(128)}, u32[128]{0:T(128)S(",0.003,0,0
%iota_shift-right-logical_fusion.2,"u32[128]{0:T(128)S(1)} fusion(), kind=kL",0.005,0,0
%copy-start.9,"(u32[128]{0:T(128)}, u32[128]{0:T(128)S(",0.003,0,0
%add_select_fusion.270,"(f32[128,128]{1,0:T(8,128)S(1)}, pred[12",7.903,0,0
%fusion.1397,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.859,0,0
%add_select_fusion.237,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.486,0,0
%add_select_fusion.225,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.485,0,0
%and_or_fusion.22,"(pred[128,128]{1,0:T(8,128)(4,1)S(1)}, p",0.051,0,0
%fusion.1442,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",7.041,0,0
%copy-start.2,"(f32[128,128]{1,0:T(8,128)}, f32[128,128",0.003,0,0
%fusion.1434,"f32[128,128]{1,0:T(8,128)S(1)} fusion(f3",1.496,0,0
%copy-start.4,"(f32[128,128]{1,0:T(8,128)}, f32[128,128",0.001,0,0
%custom-call,f32[16777216]{0:T(1024)} custom-call(c64,376.791,0,0
%reshape.8,"f32[128,131072]{1,0:T(8,128)S(1)} reshap",90.566,0,0
%copy-done.4,"f32[128,128]{1,0:T(8,128)} copy-done((f3",0.003,0,0
%copy-start,"(f32[128,131072]{1,0:T(8,128)}, f32[128,",0.003,0,0
%fusion.2819,"f32[128,131072]{1,0:T(8,128)} fusion(f32",102.535,0,0
%custom-call.1,f32[16777216]{0:T(1024)} custom-call(c64,449.678,0,0
%reshape.16,"f32[128,131072]{1,0:T(8,128)} reshape(f3",203.882,0,0
%copy-done.2,"f32[128,128]{1,0:T(8,128)} copy-done((f3",0.003,0,0
%copy-done,"f32[128,131072]{1,0:T(8,128)} copy-done(",0.005,0,0
%convolution_subtract_fusion.3,"f32[128,131072]{1,0:T(8,128)} fusion(f32",290.871,0,0
%iota_and_fusion,"u32[131072]{0:T(1024)S(1)} fusion(), kin",0.09,0,0
%iota_shift-right-logical_fusion,"u32[131072]{0:T(1024)S(1)} fusion(), kin",0.09,0,0
%is-finite_and_fusion.22,"(pred[128,131072,1]{1,0,2:T(32,128)(4,1)",1622.564,0,0
%copy-start.1,"(f32[128,131072,1]{1,0,2:T(8,128)}, f32[",0.001,0,0
%fusion.2863,"(pred[128,131072,1]{1,0,2:T(32,128)(4,1)",1886.199,0,0
%copy-done.1,"f32[128,131072,1]{1,0,2:T(8,128)} copy-d",0.005,0,0
%slice-start,"((f32[128,131072]{1,0:T(8,128)}), f32[32",0.004,0,0
%slice-start.1,"((f32[128,131072]{1,0:T(8,128)}), f32[32",0.004,0,0
%slice-start.2,"((f32[128,131072]{1,0:T(8,128)}), f32[32",0.004,0,0
%fusion.335,"(f32[128,131072,1]{1,0,2:T(8,128)}, f32[",2520.883,0,0
%slice-start.3,"((f32[128,131072]{1,0:T(8,128)}), f32[32",0.004,0,0
%copy-start.5,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.003,0,0
%add_select_fusion.84,"(f32[128,131072,1]{1,0,2:T(8,128)}, f32[",1133.729,0,0
%copy-done.6,u32[128]{0:T(128)} copy-done((u32[128]{0,0.004,0,0
%copy-done.9,u32[128]{0:T(128)} copy-done((u32[128]{0,0.004,0,0
%slice-done,"f32[32,131072]{1,0:T(8,128)S(1)} async-d",0.005,0,0
%slice-done.1,"f32[32,131072]{1,0:T(8,128)S(1)} async-d",0.004,0,0
%slice-done.2,"f32[32,131072]{1,0:T(8,128)S(1)} async-d",0.003,0,0
%slice-done.3,"f32[32,131072]{1,0:T(8,128)S(1)} async-d",0.005,0,0
%copy-done.5,"f32[128,128]{1,0:T(8,128)S(1)} copy-done",0.003,0,0
%custom-call.3,"f32[128,131072]{1,0:T(8,128)S(1)} custom",0.001,0,0
%fusion.368,"(f32[128,131072,1]{1,0,2:T(8,128)}, f32[",5183.099,0,0
%fusion.369,"f32[128,131072,1]{1,0,2:T(8,128)S(1)} fu",356.496,0,0
%copy.10,"f32[16,8,128,1024]{3,2,1,0:T(8,128)} cop",105.121,0,0
%copy-start.3,"(f32[128,128]{1,0:T(8,128)S(1)}, f32[128",0.003,0,0
%copy,"f32[128,1024,128]{2,0,1:T(8,128)S(1)} co",104.271,0,0
%copy-done.3,"f32[128,128]{1,0:T(8,128)S(1)} copy-done",0.004,0,0
%fusion.1448,"f32[128,1024,128]{2,0,1:T(8,128)} fusion",104.313,0,0
%copy.11,"f32[16,8,128,1024]{3,2,1,0:T(8,128)} cop",202.966,0,0
%copy.2,"f32[128,1024,128]{2,0,1:T(8,128)} copy(f",206.011,0,0
%copy-start.7,"(u32[128]{0:T(128)S(1)}, u32[128]{0:T(12",0.002,0,0
%copy-start.10,"(u32[128]{0:T(128)S(1)}, u32[128]{0:T(12",0.002,0,0
%convolution_subtract_fusion.2,"f32[128,1024,128]{2,0,1:T(8,128)} fusion",294.526,0,0
